ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,task_outliers,survey_outliers,outliers
xb4thl9juxy5rlblpwiova0q,185,70.588,47.806,40.372,69.196,1,41.906,3,1.0,1.0,0.535,1.0,4.55167,3.96823,0,0,0,0.3333333333333333,0.2777777777777778,false,false,false
xd941bqtfj0k52ukmtbv3c2i,186,128.496,37.063,84.078,51.901,1,76.492,4,0.6666666666666666,0.1875,0.577,0.722,3.65221,1.36625,0,0,0,0.3846153846153846,0.3611111111111111,true,false,true
xp4wjmejh8u89d3n95ow0yhi,187,132.442,38.765,70.885,37.149,0,54.058,1,1.0,1.0,0.549,0.889,3.51257,1.99247,0,0,0,0.3846153846153846,0.6111111111111112,false,false,false
xr2zwjamogsyulhcj8latfeu,188,63.949,14.067,42.691,50.35,1,44.147,5,0.5,0.625,0.465,0.639,3.88054,3.74749,0,0,1,0.4871794871794872,0.6944444444444445,true,false,true
xtkkk0jsohfcpdjlp1pnh11j,189,519.023,77.052,361.265,89.719,2,76.298,4,1.0,1.0,0.507,0.889,5.09172,2.53941,1,0,0,0.5128205128205128,0.13888888888888887,false,false,false
y7o1kxnzzzz2b91yi8uldq18,190,74.595,35.958,69.397,45.681,0,134.106,4,1.0,0.375,0.563,0.833,6.85919,3.72363,0,21,0,0.6666666666666666,0.19444444444444442,true,true,true
ybsnrx0i0ekkocypal56kkst,191,54.519,26.529,58.619,47.425,0,50.702,1,1.0,1.0,0.408,0.944,5.46707,2.75631,0,3,0,0.4871794871794872,0.4166666666666667,false,true,true
ymqtbrgkaq92ana3az9sgh85,192,264.488,73.228,142.183,58.504,1,96.454,2,0.8333333333333334,1.0,0.394,0.972,8.1158,6.42393,1,0,0,0.4615384615384615,0.4166666666666667,false,false,false
yn4058pr09ln9b7uo87cw34b,193,57.268,22.491,70.102,49.808,0,36.192,0,1.0,1.0,0.535,0.861,5.17149,2.32493,0,0,0,0.3333333333333333,0.2222222222222222,false,false,false
yn9ly5eeav2j07mpvbutuue2,194,84.389,37.616,80.223,65.75,0,46.412,0,1.0,1.0,0.493,0.778,3.67568,1.74536,0,0,0,0.5897435897435898,0.3888888888888889,false,false,false
yoij6mtmsg7i31dci7pz6sqq,195,1024.974,46.478,74.755,36.63,3,35.628,3,1.0,1.0,0.408,0.806,5.95539,3.37956,0,0,0,0.4358974358974359,0.5833333333333334,false,false,false
ysfoqvrvxmv1tgtx4lk145b0,196,90.521,57.843,69.735,41.352,1,43.359,0,1.0,1.0,0.465,0.778,3.90904,2.42822,0,0,0,0.3076923076923077,0.36111111111111116,false,false,false
yv1r10q9io60obh8c7ybtj6d,197,277.199,91.982,141.308,78.414,1,73.939,0,0.8333333333333334,1.0,0.577,0.972,6.80266,3.62579,1,0,0,0.5128205128205129,0.3611111111111111,false,false,false
za2y0nps9yo03a37trtaenfc,198,198.77,58.726,212.698,49.092,0,112.98,3,1.0,1.0,0.592,0.972,5.83449,3.36348,0,0,0,0.3846153846153846,0.27777777777777773,false,false,false
zkajw37l90e73f5ji5wdbmtr,199,85.626,21.799,70.963,39.462,1,26.244,1,1.0,1.0,0.493,0.944,3.13826,1.66796,0,0,0,0.4358974358974359,0.47222222222222227,false,false,false
zylk9cohv1d07dzgej330bt9,200,173.812,118.318,110.082,61.203,1,59.556,3,1.0,1.0,0.437,0.806,2.90714,1.32743,0,0,0,0.4615384615384615,0.22222222222222224,false,false,false
