trial,GB_condition,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold,bomb,Gtrials
93,false,4,09ym7c77o609ux5ev1uxznko,false,1941,7,1,1,1,11.458333333333334,37.5,1
94,false,4,09ym7c77o609ux5ev1uxznko,false,1675,6,8,1,8,12.25,37.5,1
95,false,4,09ym7c77o609ux5ev1uxznko,false,2054,2,9,0,2,12.75,37.5,1
96,false,4,09ym7c77o609ux5ev1uxznko,false,2316,7,5,1,5,13.25,37.5,1
97,false,4,09ym7c77o609ux5ev1uxznko,false,2017,9,1,1,1,13.75,37.5,1
98,false,4,09ym7c77o609ux5ev1uxznko,false,2973,1,6,1,6,14.083333333333334,37.5,1
99,false,4,09ym7c77o609ux5ev1uxznko,false,1385,8,0,0,8,14.333333333333334,37.5,1
100,false,4,09ym7c77o609ux5ev1uxznko,false,2308,5,6,1,6,14.666666666666668,37.5,1
101,false,4,09ym7c77o609ux5ev1uxznko,false,2724,4,1,1,1,15.5,37.5,1
102,false,4,09ym7c77o609ux5ev1uxznko,false,2629,5,0,1,0,16.5,37.5,1
103,false,4,09ym7c77o609ux5ev1uxznko,false,1824,9,7,1,7,16.875,37.5,1
104,false,4,09ym7c77o609ux5ev1uxznko,false,2039,0,1,0,0,17.875,37.5,1
105,false,4,09ym7c77o609ux5ev1uxznko,false,1418,9,6,1,6,18.208333333333332,37.5,1
106,false,4,09ym7c77o609ux5ev1uxznko,false,2355,0,4,0,0,19.208333333333332,37.5,1
107,false,4,09ym7c77o609ux5ev1uxznko,false,1374,8,5,0,8,19.458333333333332,37.5,1
108,false,4,09ym7c77o609ux5ev1uxznko,false,2830,6,0,0,6,20.333333333333332,37.5,1
109,false,4,09ym7c77o609ux5ev1uxznko,false,3009,2,5,1,5,20.833333333333332,37.5,1
110,false,4,09ym7c77o609ux5ev1uxznko,false,1945,1,9,0,1,21.333333333333332,37.5,1
111,false,4,09ym7c77o609ux5ev1uxznko,false,1774,7,2,1,2,21.833333333333332,37.5,1
112,false,4,09ym7c77o609ux5ev1uxznko,false,2648,6,4,0,6,22.166666666666664,37.5,1
113,false,4,09ym7c77o609ux5ev1uxznko,false,2162,4,5,1,5,22.666666666666664,37.5,1
114,false,4,09ym7c77o609ux5ev1uxznko,false,3186,1,5,1,5,23.166666666666664,37.5,1
115,false,4,09ym7c77o609ux5ev1uxznko,false,2451,6,2,0,6,24.333333333333332,37.5,1
116,false,4,09ym7c77o609ux5ev1uxznko,false,2160,0,9,0,0,25.333333333333332,37.5,1
117,false,4,09ym7c77o609ux5ev1uxznko,false,1618,2,8,1,8,25.583333333333332,37.5,1
118,false,4,09ym7c77o609ux5ev1uxznko,false,1038,9,8,1,8,25.833333333333332,37.5,1
119,false,4,09ym7c77o609ux5ev1uxznko,false,1438,5,9,0,5,26.333333333333332,37.5,1
120,false,4,09ym7c77o609ux5ev1uxznko,false,1805,7,9,0,7,26.708333333333332,37.5,1
